Имя в БД;Штрих-код;Срок после вскрытия (ч);Статус;Примечание
Сироп ванильный;4650139140212;2160;есть в каталоге;WTS ваниль (оранж.)
Сироп карамельный;4650139140779;2160;есть в каталоге;WTS карамель
Сироп фисташка;4650139140748;2160;есть в каталоге;WTS фисташка
Сироп фундук;4650139140656;2160;есть в каталоге;WTS HAZELNUT
Основа Щавель-лайм Pinch&Drop;4610029987662;720;есть в каталоге;
Сливки 20%;4601238007753;72;есть в каталоге;БМК
Молоко 3,2% (упаковка);4680017923521;72;есть в каталоге;ЭкоНива
Маршмеллоу;4651114360847;168;есть в каталоге;COOKINGPRO
Фисташка фракция;4670140022123;8760;есть в каталоге;Семушка
Ходзича;4603784693138;8760;есть в каталоге;Слон
Вода минеральная Jevea;4612734150836;72;есть в каталоге;
Шоколад Golden Cioc;8003180003450;96;есть в каталоге;Unigra, горячий шоколад
Сироп лимон;4650139141493;2160;новый;WTS LEMON
Основа Ежевика-юдзу;4650550333279;13140;новый;18 мес (док), бывш. латте
Основа Манго-корица;4650550333194;13140;новый;18 мес (док), бывш. латте
Посыпка Орео;4650550333262;13140;новый;18 мес (док)
Посыпка Взрывной золотой;4680144817731;13140;новый;18 мес (док)
Сырная смесь;4603336480421;13140;новый;18 мес (док)
Корица молотая Kotanyi;9001414200162;;новый;срок задать
Солёная карамель мельница;9001414843796;;новый;Kotanyi мельница, док: согласно аннотации
Апельсиновый сок;4680019562049;;новый;Сады Придонья 0.2л, срок задать
Ванильный сахар;4607061494371;;новый;Д-р Бейкерс, док: согласно аннотации
Тоник;4600494666445;;новый;EVERVESS Индиан тоник, срок задать
Основа клубника-базилик;4650432321042;720;новый (отд. товар);
Основа ананас;4650432321066;720;новый (отд. товар);
Основа гранат;4650432320458;720;новый (отд. товар);
Основа груша;4650432320632;720;новый (отд. товар);
Основа малина;4650432321004;720;новый (отд. товар);
Основа мандарин-юдзу;4650432320915;720;новый (отд. товар);
Основа манго-жасмин;4650432321073;720;новый (отд. товар);
Молоко кокосовое;4650228210192;72;новый (отд. товар);
Молоко миндальное;4650228210222;72;новый (отд. товар);
